,Utterance,Annotation,num=0_context=True,num=2_context=True,num=4_context=True,num=6_context=True,num=-1_context=True
24,my vision,container,"When he said ""my vision,"" Barrack Obama likely used a gesture where he placed one hand near his forehead with his fingers spread apart, as if looking into the distance. This gesture is often used to symbolize looking ahead or having a vision for the future.",self-point.,container.,container.,container.
25,continue my policies,span,"He raised his left hand slightly, palm facing up, and moved it forward in a smooth motion, as if presenting or offering something.",conduit.,sweep.,span.,container.
26,show no interest,sweep,"When he said ""show no interest,"" Barrack Obama likely used a dismissive hand gesture, such as waving his hand or flicking his fingers, to emphasize the lack of interest or concern from the person he was referring to.",negation.,span.,span.,span.
27,awesome power,container,"When he said ""awesome power"", Barrack Obama likely used a gesture where he raised both of his hands, palms facing each other, and then spread them apart to emphasize the magnitude of the power he was referring to. This gesture is often used to convey the idea of something being vast or significant.",emblem.,container.,container.,container.
28,anyone but himself,sweep,"When he said ""anyone but himself,"" Barrack Obama likely used a gesture where he pointed his thumb towards his chest or tapped his chest, indicating that he is referring to someone (in this case, Donald Trump) focusing on themselves.",contrast.,sweep.,span.,sweep.
29,and his friends,sweep,"When he said ""and his friends"", Barrack Obama likely used a hand gesture to emphasize the point he was making. This could be an open palm facing upwards, a pointing gesture, or a sweeping motion to indicate a group of people. The specific gesture may vary, but the intention is to emphasize the point about the person he is referring to (in this case, likely President Trump) helping only himself and his friends.",list.,span.,span.,sweep.
30,millions of jobs,sweep,"When he said ""millions of jobs,"" Barrack Obama likely used a gesture with his hands to emphasize the large number. This could be spreading his hands apart, holding up multiple fingers, or making a sweeping motion to indicate the vastness of the number.",span.,span.,span.,span.
31,gone,sweep,"When he said ""gone"", he used a gesture where he swept his hand outward and away from his body, indicating that the jobs have disappeared or been lost.",sweep.,sweep.,away.,sweep.
32,unleashed,sweep,"When he said ""unleashed"", Barrack Obama likely used a gesture where he opened his hand and moved it outward, as if releasing something or setting it free. This could be done with one or both hands, depending on his emphasis and style.",throw.,sweep.,sweep.,sweep.
33,badly diminished,sweep,"When he said ""badly diminished,"" Barrack Obama likely used a gesture that visually represented something shrinking or decreasing in size or importance. This could be done by holding his hands apart and then bringing them closer together, or by using a downward motion with one or both hands to indicate a decline.",downward chop.,downward sweep.,downward chop.,sweep.
34,Most of you,span,"It is difficult to accurately describe a specific gesture without visual context, but when referring to ""most of you,"" Barack Obama might have used a sweeping gesture with his hand or arm, indicating the audience or a large group of people. This could involve extending his arm and moving it from one side to the other, or making a circular motion with his hand to encompass the crowd.",span.,sweep.,sweep.,sweep.
35,you'll vote at all,sweep,"When he said ""you'll vote at all,"" Barrack Obama likely used a gesture that emphasized the importance of voting or the uncertainty of the decision. This could be a hand gesture such as raising his hands with palms facing up, as if weighing two options, or pointing to the audience to emphasize the personal choice involved in voting.",shrug.,span.,span.,span.
36,the direction,sweep,"When he said ""the direction,"" he likely extended his arm and pointed his index finger in the direction he was referring to, indicating the current path or direction the country is headed in. This gesture helps to visually emphasize the point he is making about the current state of affairs.",point.,sweep.,sweep.,sweep.
